to SKBResult,to AKBResult,Timing Difference
S1 to SKB : PASS,S1 to AKB : PASS,[0.08224408]
S2 to SKB : PASS,S2 to AKB : PASS,[0.08224408]
S3 to SKB : PASS,S3 to AKB : PASS,[0.08224408]
S4 to SKB : PASS,S4 to AKB : PASS,[0.08224408]
S5 to SKB : PASS,S5 to AKB : PASS,[0.08224408]
S6 to SKB : PASS,S6 to AKB : PASS,[0.08224408]
S7 to SKB : PASS,S7 to AKB : PASS,[0.08224408]
S8 to SKB : PASS,S8 to AKB : PASS,[0.08224408]
S9 to SKB : PASS,S9 to AKB : PASS,[0.08224408]
S10 to SKB : PASS,S10 to AKB : PASS,[0.08224408]
S11 to SKB : PASS,S11 to AKB : PASS,[0.08224408]
S12 to SKB : PASS,S12 to AKB : PASS,[0.08224408]
S13 to SKB : PASS,S13 to AKB : PASS,[0.08224408]
S14 to SKB : PASS,S14 to AKB : PASS,[0.08224408]
S15 to SKB : PASS,S15 to AKB : PASS,[0.08224408]
S16 to SKB : PASS,S16 to AKB : PASS,[0.08224408]
S17 to SKB : PASS,S17 to AKB : PASS,[0.08224408]
S18 to SKB : PASS,S18 to AKB : PASS,[0.08224408]
S19 to SKB : PASS,S19 to AKB : PASS,[0.08224408]
S20 to SKB : PASS,S20 to AKB : PASS,[0.08224408]
S21 to SKB : PASS,S21 to AKB : PASS,[0.08224408]
S22 to SKB : PASS,S22 to AKB : PASS,[0.08224408]
S23 to SKB : PASS,S23 to AKB : PASS,[0.08224408]
S24 to SKB : PASS,S24 to AKB : PASS,[0.08224408]
